Name,Type,HP,Attack,Defense,Speed,Generation,Legendary
Golduck,Water,80,82,78,85,1,FALSE
Mankey,Fighting,40,80,35,70,1,FALSE
Primeape,Fighting,65,105,60,95,1,FALSE
Growlithe,Fire,55,70,45,60,1,FALSE
Arcanine,Fire,90,110,80,95,1,FALSE
Poliwag,Water,40,50,40,90,1,FALSE
Poliwhirl,Water,65,65,65,90,1,FALSE
Poliwrath,Water,90,95,95,70,1,FALSE
Abra,Psychic,25,20,15,90,1,FALSE
Kadabra,Psychic,40,35,30,105,1,FALSE
Alakazam,Psychic,55,50,45,120,1,FALSE
Machop,Fighting,70,80,50,35,1,FALSE
Machoke,Fighting,80,100,70,45,1,FALSE
Machamp,Fighting,90,130,80,55,1,FALSE
Bellsprout,Grass,50,75,35,40,1,FALSE
Weepinbell,Grass,65,90,50,55,1,FALSE
Victreebel,Grass,80,105,65,70,1,FALSE
Tentacool,Water,40,40,35,70,1,FALSE
Tentacruel,Water,80,70,65,100,1,FALSE
Geodude,Rock,40,80,100,20,1,FALSE
Graveler,Rock,55,95,115,35,1,FALSE
Golem,Rock,80,120,130,45,1,FALSE
Ponyta,Fire,50,85,55,90,1,FALSE
Rapidash,Fire,65,100,70,105,1,FALSE
Slowpoke,Water,90,65,65,15,1,FALSE
Slowbro,Water,95,75,110,30,1,FALSE
Magnemite,Electric,25,35,70,45,1,FALSE
Magneton,Electric,50,60,95,70,1,FALSE
Farfetch'd,Normal,52,65,55,60,1,FALSE
Doduo,Normal,35,85,45,75,1,FALSE
Dodrio,Normal,60,110,70,100,1,FALSE
Seel,Water,65,45,55,45,1,FALSE
Dewgong,Water,90,70,80,70,1,FALSE
Grimer,Poison,80,80,50,25,1,FALSE
Muk,Poison,105,105,75,50,1,FALSE
Shellder,Water,30,65,100,40,1,FALSE
Cloyster,Water,50,95,180,70,1,FALSE
Gastly,Ghost,30,35,30,80,1,FALSE
Haunter,Ghost,45,50,45,95,1,FALSE
Gengar,Ghost,60,65,60,110,1,FALSE
Onix,Rock,35,45,160,70,1,FALSE
Drowzee,Psychic,60,48,45,42,1,FALSE
Hypno,Psychic,85,73,70,67,1,FALSE
Krabby,Water,30,105,90,50,1,FALSE
Kingler,Water,55,130,115,75,1,FALSE
Voltorb,Electric,40,30,50,100,1,FALSE
Electrode,Electric,60,50,70,140,1,FALSE
Exeggcute,Grass,60,40,80,40,1,FALSE
Exeggutor,Grass,95,95,85,55,1,FALSE
Cubone,Ground,50,50,95,35,1,FALSE
Marowak,Ground,60,80,110,45,1,FALSE
Hitmonlee,Fighting,50,120,53,87,1,FALSE
Hitmonchan,Fighting,50,105,79,76,1,FALSE
Lickitung,Normal,90,55,75,30,1,FALSE
Koffing,Poison,40,65,95,35,1,FALSE
Weezing,Poison,65,90,120,60,1,FALSE
Rhyhorn,Ground,80,85,95,25,1,FALSE
Rhydon,Ground,105,130,120,40,1,FALSE
Chansey,Normal,250,5,5,50,1,FALSE
Tangela,Grass,65,55,115,60,1,FALSE
Kangaskhan,Normal,105,95,80,90,1,FALSE
Horsea,Water,30,40,70,60,1,FALSE
Seadra,Water,55,65,95,85,1,FALSE
Goldeen,Water,45,67,60,63,1,FALSE
Seaking,Water,80,92,65,68,1,FALSE
Staryu,Water,30,45,55,85,1,FALSE
Starmie,Water,60,75,85,115,1,FALSE
Mr. Mime,Psychic,40,45,65,90,1,FALSE
Scyther,Bug,70,110,80,105,1,FALSE
Jynx,Ice,65,50,35,95,1,FALSE
Electabuzz,Electric,65,83,57,105,1,FALSE
Magmar,Fire,65,95,57,93,1,FALSE
Pinsir,Bug,65,125,100,85,1,FALSE
Tauros,Normal,75,100,95,110,1,FALSE
Magikarp,Water,20,10,55,80,1,FALSE
Gyarados,Water,95,125,79,81,1,FALSE
Lapras,Water,130,85,80,60,1,FALSE
Ditto,Normal,48,48,48,48,1,FALSE
Eevee,Normal,55,55,50,55,1,FALSE
Vaporeon,Water,130,65,60,65,1,FALSE
Jolteon,Electric,65,65,60,130,1,FALSE
Flareon,Fire,65,130,60,65,1,FALSE
Porygon,Normal,65,60,70,40,1,FALSE
Omanyte,Rock,35,40,100,35,1,FALSE
Omastar,Rock,70,60,125,55,1,FALSE
Kabuto,Rock,30,80,90,55,1,FALSE
Kabutops,Rock,60,115,105,80,1,FALSE
Aerodactyl,Rock,80,105,65,130,1,FALSE
Snorlax,Normal,160,110,65,30,1,FALSE
Articuno,Ice,90,85,100,85,1,TRUE
Zapdos,Electric,90,90,85,100,1,TRUE
Moltres,Fire,90,100,90,90,1,TRUE
Dratini,Dragon,41,64,45,50,1,FALSE
Dragonair,Dragon,61,84,65,70,1,FALSE
Dragonite,Dragon,91,134,95,80,1,FALSE
Mewtwo,Psychic,106,110,90,130,1,TRUE
Mew,Psychic,100,100,100,100,1,FALSE
Chikorita,Grass,45,49,65,45,2,FALSE
Bayleef,Grass,60,62,80,60,2,FALSE
Meganium,Grass,80,82,100,80,2,FALSE
Cyndaquil,Fire,39,52,43,65,2,FALSE
Quilava,Fire,58,64,58,80,2,FALSE
Typhlosion,Fire,78,84,78,100,2,FALSE
Totodile,Water,50,65,64,43,2,FALSE
Croconaw,Water,65,80,80,58,2,FALSE
Feraligatr,Water,85,105,100,78,2,FALSE
Sentret,Normal,35,46,34,20,2,FALSE
Furret,Normal,85,76,64,90,2,FALSE
Hoothoot,Normal,60,30,30,50,2,FALSE
Noctowl,Normal,100,50,50,70,2,FALSE
Ledyba,Bug,40,20,30,55,2,FALSE
Ledian,Bug,55,35,50,85,2,FALSE
Spinarak,Bug,40,60,40,30,2,FALSE
Ariados,Bug,70,90,70,40,2,FALSE
Crobat,Poison,85,90,80,130,2,FALSE
Chinchou,Water,75,38,38,67,2,FALSE
Lanturn,Water,125,58,58,67,2,FALSE
Pichu,Electric,20,40,15,60,2,FALSE
Cleffa,Fairy,50,25,28,15,2,FALSE
Igglybuff,Normal,90,30,15,15,2,FALSE
Togepi,Fairy,35,20,65,20,2,FALSE
Togetic,Fairy,55,40,85,40,2,FALSE
Natu,Psychic,40,50,45,70,2,FALSE
Xatu,Psychic,65,75,70,95,2,FALSE
Mareep,Electric,55,40,40,35,2,FALSE
Flaaffy,Electric,70,55,55,45,2,FALSE
Ampharos,Electric,90,75,85,55,2,FALSE
Bellossom,Grass,75,80,95,50,2,FALSE
Marill,Water,70,20,50,40,2,FALSE
Azumarill,Water,100,50,80,50,2,FALSE
Sudowoodo,Rock,70,100,115,30,2,FALSE
Politoed,Water,90,75,75,70,2,FALSE
Hoppip,Grass,35,35,40,50,2,FALSE
Skiploom,Grass,55,45,50,80,2,FALSE
Jumpluff,Grass,75,55,70,110,2,FALSE
Aipom,Normal,55,70,55,85,2,FALSE
Sunkern,Grass,30,30,30,30,2,FALSE
Sunflora,Grass,75,75,55,30,2,FALSE
Yanma,Bug,65,65,45,95,2,FALSE
Wooper,Water,55,45,45,15,2,FALSE
Quagsire,Water,95,85,85,35,2,FALSE
Espeon,Psychic,65,65,60,110,2,FALSE
Umbreon,Dark,95,65,110,65,2,FALSE
Murkrow,Dark,60,85,42,91,2,FALSE
Slowking,Water,95,75,80,30,2,FALSE
Misdreavus,Ghost,60,60,60,85,2,FALSE
Unown,Psychic,48,72,48,48,2,FALSE
Wobbuffet,Psychic,190,33,58,33,2,FALSE
Girafarig,Normal,70,80,65,85,2,FALSE
Pineco,Bug,50,65,90,15,2,FALSE
Forretress,Bug,75,90,140,40,2,FALSE
Dunsparce,Normal,100,70,70,45,2,FALSE
Gligar,Ground,65,75,105,85,2,FALSE
Steelix,Steel,75,85,200,30,2,FALSE
Snubbull,Fairy,60,80,50,30,2,FALSE
Granbull,Fairy,90,120,75,45,2,FALSE
Qwilfish,Water,65,95,75,85,2,FALSE
Scizor,Bug,70,130,100,65,2,FALSE
Shuckle,Bug,20,10,230,5,2,FALSE
Heracross,Bug,80,125,75,85,2,FALSE
Sneasel,Dark,55,95,55,115,2,FALSE
Teddiursa,Normal,60,80,50,40,2,FALSE
Ursaring,Normal,90,130,75,55,2,FALSE
Slugma,Fire,40,40,40,20,2,FALSE
Magcargo,Fire,50,50,120,30,2,FALSE
Swinub,Ice,50,50,40,50,2,FALSE
Piloswine,Ice,100,100,80,50,2,FALSE
Corsola,Water,55,55,85,35,2,FALSE
Remoraid,Water,35,65,35,65,2,FALSE
Octillery,Water,75,105,75,45,2,FALSE
Delibird,Ice,45,55,45,75,2,FALSE
Mantine,Water,65,40,70,70,2,FALSE
Skarmory,Steel,65,80,140,70,2,FALSE
Houndour,Dark,45,60,30,65,2,FALSE
Houndoom,Dark,75,90,50,95,2,FALSE
Kingdra,Water,75,95,95,85,2,FALSE
Phanpy,Ground,90,60,60,40,2,FALSE
Donphan,Ground,90,120,120,50,2,FALSE
Porygon2,Normal,85,80,90,60,2,FALSE
Stantler,Normal,73,95,62,85,2,FALSE
Smeargle,Normal,55,20,35,75,2,FALSE
Tyrogue,Fighting,35,35,35,35,2,FALSE
Hitmontop,Fighting,50,95,95,70,2,FALSE
Smoochum,Ice,45,30,15,65,2,FALSE
Elekid,Electric,45,63,37,95,2,FALSE
Magby,Fire,45,75,37,83,2,FALSE
Miltank,Normal,95,80,105,100,2,FALSE
Blissey,Normal,255,10,10,55,2,FALSE
Raikou,Electric,90,85,75,115,2,TRUE
Entei,Fire,115,115,85,100,2,TRUE
Suicune,Water,100,75,115,85,2,TRUE
Larvitar,Rock,50,64,50,41,2,FALSE
Pupitar,Rock,70,84,70,51,2,FALSE
Tyranitar,Rock,100,134,110,61,2,FALSE
Lugia,Psychic,106,90,130,110,2,TRUE
Ho-oh,Fire,106,130,90,90,2,TRUE
Celebi,Psychic,100,100,100,100,2,FALSE
Treecko,Grass,40,45,35,70,3,FALSE
Grovyle,Grass,50,65,45,95,3,FALSE
Sceptile,Grass,70,85,65,120,3,FALSE
Torchic,Fire,45,60,40,45,3,FALSE
Combusken,Fire,60,85,60,55,3,FALSE
Blaziken,Fire,80,120,70,80,3,FALSE
Mudkip,Water,50,70,50,40,3,FALSE
Marshtomp,Water,70,85,70,50,3,FALSE
Swampert,Water,100,110,90,60,3,FALSE
Poochyena,Dark,35,55,35,35,3,FALSE
Mightyena,Dark,70,90,70,70,3,FALSE
Zigzagoon,Normal,38,30,41,60,3,FALSE
Linoone,Normal,78,70,61,100,3,FALSE
Wurmple,Bug,45,45,35,20,3,FALSE
Silcoon,Bug,50,35,55,15,3,FALSE
Beautifly,Bug,60,70,50,65,3,FALSE
Cascoon,Bug,50,35,55,15,3,FALSE
Dustox,Bug,60,50,70,65,3,FALSE
Lotad,Water,40,30,30,30,3,FALSE
Lombre,Water,60,50,50,50,3,FALSE
Ludicolo,Water,80,70,70,70,3,FALSE
Seedot,Grass,40,40,50,30,3,FALSE
Nuzleaf,Grass,70,70,40,60,3,FALSE
Shiftry,Grass,90,100,60,80,3,FALSE
Taillow,Normal,40,55,30,85,3,FALSE
Swellow,Normal,60,85,60,125,3,FALSE
Wingull,Water,40,30,30,85,3,FALSE
Pelipper,Water,60,50,100,65,3,FALSE
Ralts,Psychic,28,25,25,40,3,FALSE
Kirlia,Psychic,38,35,35,50,3,FALSE
Gardevoir,Psychic,68,65,65,80,3,FALSE
Surskit,Bug,40,30,32,65,3,FALSE
Masquerain,Bug,70,60,62,60,3,FALSE
Shroomish,Grass,60,40,60,35,3,FALSE
Breloom,Grass,60,130,80,70,3,FALSE
Slakoth,Normal,60,60,60,30,3,FALSE
Vigoroth,Normal,80,80,80,90,3,FALSE
Slaking,Normal,150,160,100,100,3,FALSE
Nincada,Bug,31,45,90,40,3,FALSE
Ninjask,Bug,61,90,45,160,3,FALSE
Shedinja,Bug,1,90,45,40,3,FALSE
Whismur,Normal,64,51,23,28,3,FALSE
Loudred,Normal,84,71,43,48,3,FALSE
Exploud,Normal,104,91,63,68,3,FALSE
Makuhita,Fighting,72,60,30,25,3,FALSE
Hariyama,Fighting,144,120,60,50,3,FALSE
Azurill,Normal,50,20,40,20,3,FALSE
Nosepass,Rock,30,45,135,30,3,FALSE
Skitty,Normal,50,45,45,50,3,FALSE
Delcatty,Normal,70,65,65,70,3,FALSE
Sableye,Dark,50,75,75,50,3,FALSE
Mawile,Steel,50,85,85,50,3,FALSE
Aron,Steel,50,70,100,30,3,FALSE
Lairon,Steel,60,90,140,40,3,FALSE
Aggron,Steel,70,110,180,50,3,FALSE
Meditite,Fighting,30,40,55,60,3,FALSE
Medicham,Fighting,60,60,75,80,3,FALSE
Electrike,Electric,40,45,40,65,3,FALSE
Manectric,Electric,70,75,60,105,3,FALSE
Plusle,Electric,60,50,40,95,3,FALSE
Minun,Electric,60,40,50,95,3,FALSE
Volbeat,Bug,65,73,55,85,3,FALSE
Illumise,Bug,65,47,55,85,3,FALSE
Roselia,Grass,50,60,45,65,3,FALSE
Gulpin,Poison,70,43,53,40,3,FALSE
Swalot,Poison,100,73,83,55,3,FALSE
Carvanha,Water,45,90,20,65,3,FALSE
Sharpedo,Water,70,120,40,95,3,FALSE
Wailmer,Water,130,70,35,60,3,FALSE
Wailord,Water,170,90,45,60,3,FALSE
Numel,Fire,60,60,40,35,3,FALSE
Camerupt,Fire,70,100,70,40,3,FALSE
Torkoal,Fire,70,85,140,20,3,FALSE
Spoink,Psychic,60,25,35,60,3,FALSE
Grumpig,Psychic,80,45,65,80,3,FALSE
Spinda,Normal,60,60,60,60,3,FALSE
Trapinch,Ground,45,100,45,10,3,FALSE
Vibrava,Ground,50,70,50,70,3,FALSE
Flygon,Ground,80,100,80,100,3,FALSE
Cacnea,Grass,50,85,40,35,3,FALSE
Cacturne,Grass,70,115,60,55,3,FALSE
Swablu,Normal,45,40,60,50,3,FALSE
Altaria,Dragon,75,70,90,80,3,FALSE
Zangoose,Normal,73,115,60,90,3,FALSE
Seviper,Poison,73,100,60,65,3,FALSE
Lunatone,Rock,70,55,65,70,3,FALSE
Solrock,Rock,70,95,85,70,3,FALSE
Barboach,Water,50,48,43,60,3,FALSE
Whiscash,Water,110,78,73,60,3,FALSE
Corphish,Water,43,80,65,35,3,FALSE
Crawdaunt,Water,63,120,85,55,3,FALSE
Baltoy,Ground,40,40,55,55,3,FALSE
Claydol,Ground,60,70,105,75,3,FALSE
Lileep,Rock,66,41,77,23,3,FALSE
Cradily,Rock,86,81,97,43,3,FALSE
Anorith,Rock,45,95,50,75,3,FALSE
Armaldo,Rock,75,125,100,45,3,FALSE
Feebas,Water,20,15,20,80,3,FALSE
Milotic,Water,95,60,79,81,3,FALSE
Castform,Normal,70,70,70,70,3,FALSE
Kecleon,Normal,60,90,70,40,3,FALSE
Shuppet,Ghost,44,75,35,45,3,FALSE
Banette,Ghost,64,115,65,65,3,FALSE
Duskull,Ghost,20,40,90,25,3,FALSE
Dusclops,Ghost,40,70,130,25,3,FALSE
Tropius,Grass,99,68,83,51,3,FALSE
Chimecho,Psychic,65,50,70,65,3,FALSE
Absol,Dark,65,130,60,75,3,FALSE
Wynaut,Psychic,95,23,48,23,3,FALSE
Snorunt,Ice,50,50,50,50,3,FALSE
Glalie,Ice,80,80,80,80,3,FALSE
Spheal,Ice,70,40,50,25,3,FALSE
Sealeo,Ice,90,60,70,45,3,FALSE
Walrein,Ice,110,80,90,65,3,FALSE
Clamperl,Water,35,64,85,32,3,FALSE
Huntail,Water,55,104,105,52,3,FALSE
Gorebyss,Water,55,84,105,52,3,FALSE
Relicanth,Water,100,90,130,55,3,FALSE
Luvdisc,Water,43,30,55,97,3,FALSE
Bagon,Dragon,45,75,60,50,3,FALSE
Shelgon,Dragon,65,95,100,50,3,FALSE
Salamence,Dragon,95,135,80,100,3,FALSE
Beldum,Steel,40,55,80,30,3,FALSE
Metang,Steel,60,75,100,50,3,FALSE
Metagross,Steel,80,135,130,70,3,FALSE
Regirock,Rock,80,100,200,50,3,TRUE
Regice,Ice,80,50,100,50,3,TRUE
Registeel,Steel,80,75,150,50,3,TRUE
Latias,Dragon,80,80,90,110,3,TRUE
Latios,Dragon,80,90,80,110,3,TRUE
Kyogre,Water,100,100,90,90,3,TRUE
Groudon,Ground,100,150,140,90,3,TRUE
Rayquaza,Dragon,105,150,90,95,3,TRUE
Jirachi,Steel,100,100,100,100,3,TRUE
DeoxysNormal Forme,Psychic,50,150,50,150,3,TRUE
Turtwig,Grass,55,68,64,31,4,FALSE
Grotle,Grass,75,89,85,36,4,FALSE
Torterra,Grass,95,109,105,56,4,FALSE
Chimchar,Fire,44,58,44,61,4,FALSE
Monferno,Fire,64,78,52,81,4,FALSE
Infernape,Fire,76,104,71,108,4,FALSE
Piplup,Water,53,51,53,40,4,FALSE
Prinplup,Water,64,66,68,50,4,FALSE
Empoleon,Water,84,86,88,60,4,FALSE
Starly,Normal,40,55,30,60,4,FALSE
Staravia,Normal,55,75,50,80,4,FALSE
Staraptor,Normal,85,120,70,100,4,FALSE
Bidoof,Normal,59,45,40,31,4,FALSE
Bibarel,Normal,79,85,60,71,4,FALSE
Kricketot,Bug,37,25,41,25,4,FALSE
Kricketune,Bug,77,85,51,65,4,FALSE
Shinx,Electric,45,65,34,45,4,FALSE
Luxio,Electric,60,85,49,60,4,FALSE
Luxray,Electric,80,120,79,70,4,FALSE
Budew,Grass,40,30,35,55,4,FALSE
Roserade,Grass,60,70,65,90,4,FALSE
Cranidos,Rock,67,125,40,58,4,FALSE
Rampardos,Rock,97,165,60,58,4,FALSE
Shieldon,Rock,30,42,118,30,4,FALSE
Bastiodon,Rock,60,52,168,30,4,FALSE
Burmy,Bug,40,29,45,36,4,FALSE
WormadamPlant Cloak,Bug,60,59,85,36,4,FALSE
Mothim,Bug,70,94,50,66,4,FALSE
Combee,Bug,30,30,42,70,4,FALSE
Vespiquen,Bug,70,80,102,40,4,FALSE
Pachirisu,Electric,60,45,70,95,4,FALSE
Buizel,Water,55,65,35,85,4,FALSE
Floatzel,Water,85,105,55,115,4,FALSE
Cherubi,Grass,45,35,45,35,4,FALSE
Cherrim,Grass,70,60,70,85,4,FALSE
Shellos,Water,76,48,48,34,4,FALSE
Gastrodon,Water,111,83,68,39,4,FALSE
Ambipom,Normal,75,100,66,115,4,FALSE
Drifloon,Ghost,90,50,34,70,4,FALSE
Drifblim,Ghost,150,80,44,80,4,FALSE
Buneary,Normal,55,66,44,85,4,FALSE
Lopunny,Normal,65,76,84,105,4,FALSE
Mismagius,Ghost,60,60,60,105,4,FALSE
Honchkrow,Dark,100,125,52,71,4,FALSE
Glameow,Normal,49,55,42,85,4,FALSE
Purugly,Normal,71,82,64,112,4,FALSE
Chingling,Psychic,45,30,50,45,4,FALSE
Stunky,Poison,63,63,47,74,4,FALSE
Skuntank,Poison,103,93,67,84,4,FALSE
Bronzor,Steel,57,24,86,23,4,FALSE
Bronzong,Steel,67,89,116,33,4,FALSE
Bonsly,Rock,50,80,95,10,4,FALSE
Mime Jr.,Psychic,20,25,45,60,4,FALSE
Happiny,Normal,100,5,5,30,4,FALSE
Chatot,Normal,76,65,45,91,4,FALSE
Spiritomb,Ghost,50,92,108,35,4,FALSE
Gible,Dragon,58,70,45,42,4,FALSE
Gabite,Dragon,68,90,65,82,4,FALSE
Garchomp,Dragon,108,130,95,102,4,FALSE
Munchlax,Normal,135,85,40,5,4,FALSE
Riolu,Fighting,40,70,40,60,4,FALSE
Lucario,Fighting,70,110,70,90,4,FALSE
Hippopotas,Ground,68,72,78,32,4,FALSE
Hippowdon,Ground,108,112,118,47,4,FALSE
Skorupi,Poison,40,50,90,65,4,FALSE
Drapion,Poison,70,90,110,95,4,FALSE
Croagunk,Poison,48,61,40,50,4,FALSE
Toxicroak,Poison,83,106,65,85,4,FALSE
Carnivine,Grass,74,100,72,46,4,FALSE
Finneon,Water,49,49,56,66,4,FALSE
Lumineon,Water,69,69,76,91,4,FALSE
Mantyke,Water,45,20,50,50,4,FALSE
Snover,Grass,60,62,50,40,4,FALSE
Abomasnow,Grass,90,92,75,60,4,FALSE
Weavile,Dark,70,120,65,125,4,FALSE
Magnezone,Electric,70,70,115,60,4,FALSE
Lickilicky,Normal,110,85,95,50,4,FALSE
Rhyperior,Ground,115,140,130,40,4,FALSE
Tangrowth,Grass,100,100,125,50,4,FALSE
Electivire,Electric,75,123,67,95,4,FALSE
Magmortar,Fire,75,95,67,83,4,FALSE
Togekiss,Fairy,85,50,95,80,4,FALSE
Yanmega,Bug,86,76,86,95,4,FALSE
Leafeon,Grass,65,110,130,95,4,FALSE
Glaceon,Ice,65,60,110,65,4,FALSE
Gliscor,Ground,75,95,125,95,4,FALSE
Mamoswine,Ice,110,130,80,80,4,FALSE
Porygon-Z,Normal,85,80,70,90,4,FALSE
Gallade,Psychic,68,125,65,80,4,FALSE
Probopass,Rock,60,55,145,40,4,FALSE
Dusknoir,Ghost,45,100,135,45,4,FALSE
Froslass,Ice,70,80,70,110,4,FALSE
Rotom,Electric,50,50,77,91,4,FALSE
Uxie,Psychic,75,75,130,95,4,TRUE
Mesprit,Psychic,80,105,105,80,4,TRUE
Azelf,Psychic,75,125,70,115,4,TRUE
Dialga,Steel,100,120,120,90,4,TRUE
Palkia,Water,90,120,100,100,4,TRUE
Heatran,Fire,91,90,106,77,4,TRUE
Regigigas,Normal,110,160,110,100,4,TRUE
GiratinaAltered Forme,Ghost,150,100,120,90,4,TRUE
Cresselia,Psychic,120,70,120,85,4,FALSE
Phione,Water,80,80,80,80,4,FALSE
Manaphy,Water,100,100,100,100,4,FALSE
Darkrai,Dark,70,90,90,125,4,TRUE
ShayminLand Forme,Grass,100,100,100,100,4,TRUE
Arceus,Normal,120,120,120,120,4,TRUE
Victini,Psychic,100,100,100,100,5,TRUE
Snivy,Grass,45,45,55,63,5,FALSE
Servine,Grass,60,60,75,83,5,FALSE
Serperior,Grass,75,75,95,113,5,FALSE
Tepig,Fire,65,63,45,45,5,FALSE
Pignite,Fire,90,93,55,55,5,FALSE
Emboar,Fire,110,123,65,65,5,FALSE
Oshawott,Water,55,55,45,45,5,FALSE
Dewott,Water,75,75,60,60,5,FALSE
Samurott,Water,95,100,85,70,5,FALSE
Patrat,Normal,45,55,39,42,5,FALSE
Watchog,Normal,60,85,69,77,5,FALSE
Lillipup,Normal,45,60,45,55,5,FALSE
Herdier,Normal,65,80,65,60,5,FALSE
Stoutland,Normal,85,110,90,80,5,FALSE
Purrloin,Dark,41,50,37,66,5,FALSE
Liepard,Dark,64,88,50,106,5,FALSE
Pansage,Grass,50,53,48,64,5,FALSE
Simisage,Grass,75,98,63,101,5,FALSE
Pansear,Fire,50,53,48,64,5,FALSE
Simisear,Fire,75,98,63,101,5,FALSE
Panpour,Water,50,53,48,64,5,FALSE
Simipour,Water,75,98,63,101,5,FALSE
Munna,Psychic,76,25,45,24,5,FALSE
Musharna,Psychic,116,55,85,29,5,FALSE
Pidove,Normal,50,55,50,43,5,FALSE
Tranquill,Normal,62,77,62,65,5,FALSE
Unfezant,Normal,80,115,80,93,5,FALSE
Blitzle,Electric,45,60,32,76,5,FALSE
Zebstrika,Electric,75,100,63,116,5,FALSE
Roggenrola,Rock,55,75,85,15,5,FALSE
Boldore,Rock,70,105,105,20,5,FALSE
Gigalith,Rock,85,135,130,25,5,FALSE
Woobat,Psychic,55,45,43,72,5,FALSE
Swoobat,Psychic,67,57,55,114,5,FALSE
Drilbur,Ground,60,85,40,68,5,FALSE
Excadrill,Ground,110,135,60,88,5,FALSE
Audino,Normal,103,60,86,50,5,FALSE
Timburr,Fighting,75,80,55,35,5,FALSE
Gurdurr,Fighting,85,105,85,40,5,FALSE
Conkeldurr,Fighting,105,140,95,45,5,FALSE
Tympole,Water,50,50,40,64,5,FALSE
Palpitoad,Water,75,65,55,69,5,FALSE
Seismitoad,Water,105,95,75,74,5,FALSE
Throh,Fighting,120,100,85,45,5,FALSE
Sawk,Fighting,75,125,75,85,5,FALSE
Sewaddle,Bug,45,53,70,42,5,FALSE
Swadloon,Bug,55,63,90,42,5,FALSE
Leavanny,Bug,75,103,80,92,5,FALSE
Venipede,Bug,30,45,59,57,5,FALSE
Whirlipede,Bug,40,55,99,47,5,FALSE
Scolipede,Bug,60,100,89,112,5,FALSE
Cottonee,Grass,40,27,60,66,5,FALSE
Whimsicott,Grass,60,67,85,116,5,FALSE
Petilil,Grass,45,35,50,30,5,FALSE
Lilligant,Grass,70,60,75,90,5,FALSE
Basculin,Water,70,92,65,98,5,FALSE
Sandile,Ground,50,72,35,65,5,FALSE
Krokorok,Ground,60,82,45,74,5,FALSE
Krookodile,Ground,95,117,80,92,5,FALSE
Darumaka,Fire,70,90,45,50,5,FALSE
DarmanitanStandard Mode,Fire,105,140,55,95,5,FALSE
Maractus,Grass,75,86,67,60,5,FALSE
Dwebble,Bug,50,65,85,55,5,FALSE
Crustle,Bug,70,95,125,45,5,FALSE
Scraggy,Dark,50,75,70,48,5,FALSE
Scrafty,Dark,65,90,115,58,5,FALSE
Sigilyph,Psychic,72,58,80,97,5,FALSE
Yamask,Ghost,38,30,85,30,5,FALSE
Cofagrigus,Ghost,58,50,145,30,5,FALSE
Tirtouga,Water,54,78,103,22,5,FALSE
